name	started_utc	command
lcbench_highpower	2026-08-07T10:32:46Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 300 --n-iters 40 --n-eval 12 --n-seeds 16 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --pacoh-particles 10 --methods em_frozen,em_finetuned,em_noisefit,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --out pytorch/botorch/_scratch_bo/results/raw/lcbench_highpower.json
batch_q1	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 1 --out pytorch/botorch/_scratch_bo/results/raw/batch_q1.json
batch_topq_q2	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 2 --batch-mode topq --out pytorch/botorch/_scratch_bo/results/raw/batch_topq_q2.json
batch_topq_q4	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 4 --batch-mode topq --out pytorch/botorch/_scratch_bo/results/raw/batch_topq_q4.json
batch_kb_q2	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 2 --batch-mode kb --out pytorch/botorch/_scratch_bo/results/raw/batch_kb_q2.json
batch_kb_q4	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 4 --batch-mode kb --out pytorch/botorch/_scratch_bo/results/raw/batch_kb_q4.json
batch_fantasy_q2	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 2 --batch-mode fantasy --n-fantasies 4 --out pytorch/botorch/_scratch_bo/results/raw/batch_fantasy_q2.json
batch_fantasy_q4	2026-08-07T10:33:21Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_experiment -- --n-configs 200 --n-iters 20 --n-eval 4 --n-seeds 6 --n-pretrain 25 --meta-subsample 64 --meta-task-batch 5 --meta-iters 2000 --methods em_frozen,hyperbo_frozen,vanilla_gp,random --batch-q 4 --batch-mode fantasy --n-fantasies 4 --out pytorch/botorch/_scratch_bo/results/raw/batch_fantasy_q4.json
diagnose	2026-08-07T10:33:24Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_diagnose -- (all methods)
diagnose	2026-08-07T12:15:25Z	the build tool run @//mode/opt //pytorch/botorch/_scratch_bo:bo_diagnose -- (all methods)
pd1_loo_neglog_s0	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 0/12
pd1_loo_neglog_s1	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 1/12
pd1_loo_neglog_s2	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 2/12
pd1_loo_neglog_s3	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 3/12
pd1_loo_neglog_s4	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 4/12
pd1_loo_neglog_s5	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 5/12
pd1_loo_neglog_s6	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 6/12
pd1_loo_neglog_s7	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 7/12
pd1_loo_neglog_s8	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 8/12
pd1_loo_neglog_s9	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 9/12
pd1_loo_neglog_s10	2026-08-07T15:08:52Z	bo_experiment --benchmark pd1_loo --pd1-source full --pd1-group all   --n-iters 50 --n-seeds 5 --n-init 3 --per-task-standardize   --meta-subsample 64 --meta-task-batch 5   --hyperbo-iters 50000 --pacoh-iters 10000 --ablr-iters 10000 --pacoh-particles 10   --threads 3 --methods em_frozen,em_noisefit,em_finetuned,hyperbo_frozen,hyperbo_adapt,pacoh_frozen,ablr,vanilla_gp,random --output-warp neglog --loo-shard 10/12
